,path,class,span
0,./train_embeddings/article727658675_0.pt,Loaded_Language,"will proclaim, with all clarity, unambiguity and beauty"
1,./train_embeddings/article727658675_1.pt,Appeal_to_Fear-Prejudice,and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”
2,./train_embeddings/article727658675_2.pt,Loaded_Language,would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”
3,./train_embeddings/article727658675_3.pt,Exaggeration-Minimisation,plague
4,./train_embeddings/article727658675_4.pt,Appeal_to_Authority,"Some of these norms, Schneider told LifeSiteNews, give “implicit approval” of divorce and of sexual activity outside a valid marriage"
5,./train_embeddings/article727658675_5.pt,Loaded_Language,"Such a reading is causing “rampant confusion,” will spread “a plague of divorce” in the Church, and is “alien” to the Church’s entire faith and Tradition"
6,./train_embeddings/article727658675_6.pt,Exaggeration-Minimisation,plague of divorce
7,./train_embeddings/article727658675_7.pt,Obfuscation-Vagueness-Confusion,"This is contrary to Divine Revelation,” Schneider further told LifeSite, adding that the “beautiful explanations” that are being presented to clergy and faithful as “discernment” and “pastoral accompaniment,” or a “change of paradigm” and “discovery of the subjective part of the truth,” when translated into “common sense language,” are tantamount to an allowance to sin"
8,./train_embeddings/article727658675_8.pt,False_Dilemma-No_Choice,"the “beautiful explanations” that are being presented to clergy and faithful as “discernment” and “pastoral accompaniment,” or a “change of paradigm” and “discovery of the subjective part of the truth,” when translated into “common sense language,” are tantamount to an allowance to sin"
9,./train_embeddings/article727658675_9.pt,Causal_Oversimplification,"As Successors of the Apostles, Schneider said they “could not act in another way.”"
10,./train_embeddings/article727658675_10.pt,False_Dilemma-No_Choice,"As Successors of the Apostles, Schneider said they “could not act in another way"
11,./train_embeddings/article727658675_11.pt,NoClass,“could not act in another way.” Bishop Marian Eleganti
12,./train_embeddings/article727658675_12.pt,NoClass,"of signatories to nine. To date, in addition to the three original signatories from Kazakstan, the following prelates have signed the profession: Cardinal Janis Pujats, Emeritus Archbishop Metropolitan of Riga, Latvia; Archbishop Carlo Maria Viganò, former apostolic nuncio"
13,./train_embeddings/article727658675_13.pt,NoClass,"behalf of the Swiss Bishops’ Conference, and as vicar for religious and monastic communities. He is also the vicar for the philosophical-theological education and ongoing formation and training of pastoral workers. Bishop Marian Eleganti’s public support"
14,./train_embeddings/article727658675_14.pt,NoClass,Schneider told
15,./train_embeddings/article727658675_15.pt,NoClass,"truths of the Church, and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in"
16,./train_embeddings/article727658675_16.pt,NoClass,"of Pope Francis’ apostolic exhortation on the family, Amoris Laetitia. Some of these norms, Schneider told LifeSiteNews, give “implicit approval” of divorce and of sexual activity outside"
17,./train_embeddings/article727658675_17.pt,NoClass,not act in another
18,./train_embeddings/article727658675_18.pt,NoClass,"The profession’s most recent signatory, Bishop Marian Eleganti, O.S.B., is a monk of the abbey of the Missionary Benedictines in St. Otmarsberg in Uznach, located in the canton of St. Gallen, Switzerland. He was ordained to the priesthood on June 23, 1995. In July 1999, the monks of St. Otmarsberg Abbey (the youngest abbey in Switzerland)"
19,./train_embeddings/article727658675_19.pt,NoClass,"to the “Profession of Immutable Truths about Sacramental Marriage,” bringing the total number of signatories to eight bishops and one cardinal, LifeSite has confirmed. Bishop Eleganti’s support of the profession comes just three days after Bishop Athanasius Schneider, auxiliary of Astana, Kazakstan, invited the"
20,./train_embeddings/article727658675_20.pt,NoClass,ongoing formation and training of pastoral workers. Bishop Marian Eleganti’s public support of the Profession
21,./train_embeddings/article727658675_21.pt,NoClass,"proclaim, with all clarity, unambiguity and beauty, the sanctity of marriage, and of the family,"
